DATE,PRCP,TMAX,TMIN
1941-05-13,0,66,50
1941-05-14,0,63,47
1941-05-15,0.3,58,44
1941-05-16,1.08,55,45
1941-05-17,0.06,57,46
1941-05-18,0,59,39
1941-05-19,0,58,40
1941-05-20,0,65,50
1941-05-21,0,68,42
1941-05-22,0,85,46
1941-05-23,0,84,46
1941-05-24,0,75,50
1941-05-25,0,72,41
1941-05-26,0.01,59,37
1941-05-27,0.34,61,48
1941-05-28,0.1,59,46
1941-05-29,0.02,69,43
1941-05-30,0.02,73,40
1941-05-31,0.18,62,50
1941-06-01,0.01,65,48
1941-06-02,0,72,40
1941-06-03,0,71,40
1941-06-04,0,74,40
1941-06-05,0.17,69,46
1941-06-06,0.1,65,51
1941-06-07,0,68,45
1941-06-08,0.04,64,43
1941-06-09,0,71,50
1941-06-10,0,79,44
1941-06-11,0,94,49
1941-06-12,0,75,58
1941-06-13,0,70,45
1941-06-14,0,70,41
1941-06-15,0,69,48
1941-06-16,0.02,72,48
1941-06-17,0.23,68,49
1941-06-18,0.24,64,51
1941-06-19,0.06,63,44
1941-06-20,0,72,45
1941-06-21,0,71,46
1941-06-22,0.06,71,52
1941-06-23,0,75,46
1941-06-24,0,75,45
1941-06-25,0,74,51
1941-06-26,0,76,44
1941-06-27,0,74,48
1941-06-28,0,70,48
1941-06-29,0,69,54
1941-06-30,0,75,47
1941-07-01,0,80,50
1941-07-02,0,78,48
1941-07-03,0,77,50
1941-07-04,0,79,51
1941-07-05,0,83,56
1941-07-06,0,84,52
1941-07-07,0,80,54
1941-07-08,0,79,48
1941-07-09,0,80,45
1941-07-10,0,80,45
1941-07-11,0,78,43
1941-07-12,0,82,44
1941-07-13,0,91,51
1941-07-14,0,98,56
1941-07-15,0,103,59
1941-07-16,0,103,62
1941-07-17,0,100,65
1941-07-18,0.3,96,61
1941-07-19,0,80,60
1941-07-20,0,82,56
1941-07-21,0,77,56
1941-07-22,0,72,48
1941-07-23,0.03,76,47
1941-07-24,0,75,52
1941-07-25,0,83,50
1941-07-26,0,85,48
1941-07-27,0,75,49
1941-07-28,0,68,52
1941-07-29,0,80,50
1941-07-30,0,82,45
1941-07-31,0,72,41
1941-08-01,0,70,44
1941-08-02,0.05,66,52
1941-08-03,0.51,64,54
1941-08-04,0.02,76,51
1941-08-05,0,78,46
1941-08-06,0,84,45
1941-08-07,0,90,50
1941-08-08,0,90,51
1941-08-09,0,82,55
1941-08-10,0,83,48
1941-08-11,0,65,51
1941-08-12,0,70,55
1941-08-13,0,80,48
1941-08-14,0,81,49
1941-08-15,0,82,50
1941-08-16,0,80,52
1941-08-17,0,86,48
1941-08-18,0,93,51
1941-08-19,0,91,55
1941-08-20,0,78,51
1941-08-21,0,71,54
1941-08-22,0,71,51
1941-08-23,0.43,74,53
1941-08-24,0.05,74,46
1941-08-25,0.43,60,54
1941-08-26,0.12,69,46
1941-08-27,0.43,62,48
1941-08-28,0.01,70,51
1941-08-29,0,73,48
1941-08-30,0.09,63,53
1941-08-31,0.35,62,56
1941-09-01,0.51,61,55
1941-09-02,0.84,70,55
1941-09-03,0.36,60,53
1941-09-04,0.1,66,57
1941-09-05,0,71,58
1941-09-06,0,70,48
1941-09-07,0,71,42
1941-09-08,0,74,42
1941-09-09,0.28,60,54
1941-09-10,0.63,60,50
1941-09-11,0.01,66,44
1941-09-12,0,69,50
1941-09-13,0.04,67,51
1941-09-14,0.03,64,51
1941-09-15,0.04,65,49
1941-09-16,0.24,63,50
1941-09-17,0.18,61,45
1941-09-18,0.1,63,42
1941-09-19,0.51,60,44
1941-09-20,0,67,36
1941-09-21,0,69,35
1941-09-22,0,68,36
1941-09-23,0,71,38
1941-09-24,0,78,44
1941-09-25,0,68,50
1941-09-26,0,67,48
1941-09-27,0,68,41
1941-09-28,0.09,62,42
1941-09-29,0,67,48
1941-09-30,0.3,65,51
1941-10-01,0.11,65,47
1941-10-02,0,60,38
1941-10-03,0.05,60,49
1941-10-04,0,62,40
1941-10-05,0,66,36
1941-10-06,0.22,56,47
1941-10-07,0.29,54,43
1941-10-08,0.11,57,43
1941-10-09,0.15,61,50
1941-10-10,0.31,63,47
1941-10-11,0.43,56,45
1941-10-12,0.2,62,43
1941-10-13,0,61,41
1941-10-14,0,71,47
1941-10-15,0,66,45
1941-10-16,0.29,58,48
1941-10-17,0,65,49
1941-10-18,0.25,56,49
1941-10-19,0,57,46
1941-10-20,0,58,35
1941-10-21,0,59,39
1941-10-22,0,62,42
1941-10-23,0,58,40
1941-10-24,0,69,39
1941-10-25,0.03,55,39
1941-10-26,0,62,40
1941-10-27,0.22,54,46
1941-10-28,0.03,56,40
1941-10-29,0,58,40
1941-10-30,0,60,38
1941-10-31,0.05,56,44
1941-11-01,0,54,40
1941-11-02,0,56,35
1941-11-03,0.88,59,43
1941-11-04,0.88,59,48
1941-11-05,0.01,64,40
1941-11-06,0,56,38
1941-11-07,0,64,37
1941-11-08,0,71,37
1941-11-09,0,41,41
1941-11-10,0.66,58,42
1941-11-11,0.25,61,40
1941-11-12,0,52,32
1941-11-13,1.23,55,41
1941-11-14,0.33,51,44
1941-11-15,0.35,48,40
1941-11-16,0.06,49,36
1941-11-17,0,53,35
1941-11-18,0,48,33
1941-11-19,0,48,27
1941-11-20,0,47,21
1941-11-21,0,46,30
1941-11-22,0,39,26
1941-11-23,0,48,29
1941-11-24,0.05,51,38
1941-11-25,0.03,51,42
1941-11-26,0.04,50,38
1941-11-27,0,47,36
1941-11-28,0.32,52,34
1941-11-29,0.03,58,44
1941-11-30,0.04,53,40
1941-12-01,0.42,57,43
1941-12-02,0.58,57,40
1941-12-03,0.22,40,34
1941-12-04,0.09,52,34
1941-12-05,0.23,51,41
1941-12-06,0.08,52,40
1941-12-07,0,47,31
1941-12-08,0.02,44,34
1941-12-09,0.06,47,40
1941-12-10,0,46,36
1941-12-11,0.01,44,34
1941-12-12,0,40,33
1941-12-13,0.15,43,35
1941-12-14,0.17,50,37
1941-12-15,1.33,53,43
1941-12-16,0.34,50,36
1941-12-17,0.35,44,36
1941-12-18,1.07,51,39
1941-12-19,1.68,47,42
1941-12-20,0.31,50,38
1941-12-21,0.14,43,34
1941-12-22,0.47,47,36
1941-12-23,0.53,40,36
1941-12-24,0,39,34
1941-12-25,0,44,28
1941-12-26,0,42,22
1941-12-27,0,44,25
1941-12-28,0,44,29
1941-12-29,0,37,24
1941-12-30,0,38,27
1941-12-31,0,32,17
1942-01-01,0,35,11
1942-01-02,0,33,22
1942-01-03,0,38,26
1942-01-04,0,37,15
1942-01-05,0,38,10
1942-01-06,0,35,15
1942-01-07,0.77,33,29
1942-01-08,0.48,35,32
1942-01-09,0.3,43,33
1942-01-10,0,42,30
1942-01-11,0,44,29
1942-01-12,0.03,42,33
1942-01-13,0,48,28
1942-01-14,0,54,24
1942-01-15,0,41,29
1942-01-16,0.04,43,34
1942-01-17,0,45,34
1942-01-18,0,45,28
1942-01-19,0,55,25
1942-01-20,0,54,28
1942-01-21,0,54,25
1942-01-22,0,63,27
1942-01-23,0.2,47,34
1942-01-24,0.78,48,41
1942-01-25,0.25,53,42
1942-01-26,0.5,56,42
1942-01-27,0.19,54,37
1942-01-28,0.21,50,33
1942-01-29,0,43,28
1942-01-30,0.02,44,28
1942-01-31,0.32,46,36
1942-02-01,0.17,50,42
1942-02-02,0.19,51,40
1942-02-03,0.49,48,39
1942-02-04,0.99,47,41
1942-02-05,0.15,49,35
1942-02-06,0.02,52,41
1942-02-07,0.02,51,34
1942-02-08,0.35,46,42
1942-02-09,0.23,47,34
1942-02-10,0.11,54,43
1942-02-11,0,55,32
1942-02-12,0,48,28
1942-02-13,0,50,25
1942-02-14,0,48,28
1942-02-15,0,50,27
1942-02-16,0,48,28
1942-02-17,0,48,28
1942-02-18,0,53,24
1942-02-19,0,54,22
1942-02-20,0,44,32
1942-02-21,0,43,26
1942-02-22,0.09,41,22
1942-02-23,0.28,42,32
1942-02-24,0.13,42,34
1942-02-25,0,50,31
1942-02-26,0.05,45,30
1942-02-27,0.11,46,36
1942-02-28,0,50,38
1942-03-01,0.16,58,35
1942-03-02,0.13,52,44
1942-03-03,0,55,31
1942-03-04,0,55,32
1942-03-05,0.14,50,40
1942-03-06,0,54,28
1942-03-07,0,57,30
1942-03-08,0.22,54,31
1942-03-09,0.48,55,39
1942-03-10,0,57,29
1942-03-11,0.01,50,35
1942-03-12,0.21,49,28
1942-03-13,0.29,46,32
1942-03-14,0,48,29
1942-03-15,0.07,45,27
1942-03-16,0,51,31
1942-03-17,0.16,52,38
1942-03-18,0,54,33
1942-03-19,0,56,27
1942-03-20,0,60,29
1942-03-21,0.18,50,30
1942-03-22,0.35,48,32
1942-03-23,0.03,45,32
1942-03-24,0.02,45,29
1942-03-25,0.11,52,31
1942-03-26,0,56,28
1942-03-27,0,63,28
1942-03-28,0,62,35
1942-03-29,0,62,42
1942-03-30,0,72,33
1942-03-31,0.07,67,41
1942-04-01,0,58,40
1942-04-02,0,66,39
1942-04-03,0,63,41
1942-04-04,0,73,32
1942-04-05,0,59,38
1942-04-06,0,56,44
1942-04-07,0,55,39
1942-04-08,0,63,31
1942-04-09,0,69,38
1942-04-10,0,74,42
1942-04-11,0,61,40
1942-04-12,0,60,32
1942-04-13,0.18,56,32
1942-04-14,0.07,58,40
1942-04-15,0,66,45
1942-04-16,0.11,60,39
1942-04-17,0.01,59,31
1942-04-18,0,65,38
1942-04-19,0,75,38
1942-04-20,0,76,46
